Function;Description;Parameters;Example
tax_eq;All records that match the given NCBI taxonomy identifier;NCBI taxonomy identifier;tax_eq(9606)
tax_tree;All records that match the given NCBI taxonomy identifier or are descendants of it;NCBI taxonomy identifier;tax_tree(2759)
tax_name;All records that match the given NCBI scientific name;NCBI scientific name;"tax_name(""Homo%20sapiens"")"
col_tax_eq;All records that match the given CoL taxonomy identifier;CoL taxonomy identifier;col_tax_eq(6850099)
col_tax_tree;All records that match the given CoL taxonomy identifier or are descendants of it;CoL taxonomy identifier;col_tax_tree(6850295)
